LLM,File,Key,Hallucination
GEMINI,2023-02-07 10.55 Test-representations.airdM.xes,add,1.111111111
GEMINI,2023-02-07 10.55 Test-representations.airdM.xes,name,1
GEMINI,2023-02-07 10.55 Test-representations.airdM.xes,set,1.272727273
GEMINI,2023-02-07 10.55 Test-representations.airdM.xes,supportedroleclass,3.333333333
GEMINI,2023-02-07 10.55 Test-representations.airdM.xes,externalinterface,3
GEMINI,2023-02-07 10.55 Test-representations.airdM.xes,baseclass,2
GEMINI,2023-02-07 10.55 Test-representations.airdM.xes,internallink,4
GEMINI,2023-02-07 10.55 Test-representations.airdM.xes,partnersidea,1
GEMINI,2023-02-07 10.55 Test-representations.airdM.xes,partnersideb,1
GEMINI,2023-02-07 11.07 Test-representations.airdM.xes,internalelement,6
GEMINI,2023-02-07 11.07 Test-representations.airdM.xes,add,1
GEMINI,2023-02-07 11.07 Test-representations.airdM.xes,name,1
GEMINI,2023-02-07 11.07 Test-representations.airdM.xes,set,1
GEMINI,2023-02-07 11.07 Test-representations.airdM.xes,basesystemunit,1
GEMINI,2023-02-07 11.07 Test-representations.airdM.xes,externalinterface,3
GEMINI,2023-02-07 11.07 Test-representations.airdM.xes,baseclass,1
GEMINI,2023-02-07 11.07 Test-representations.airdM.xes,internallink,4
GEMINI,2023-02-07 11.07 Test-representations.airdM.xes,partnersidea,1
GEMINI,2023-02-07 11.07 Test-representations.airdM.xes,partnersideb,1
GEMINI,2023-02-08 09.01 Test-representations.airdM.xes,internalelement,12
GEMINI,2023-02-08 09.01 Test-representations.airdM.xes,add,1.285714286
GEMINI,2023-02-08 09.01 Test-representations.airdM.xes,name,1
GEMINI,2023-02-08 09.01 Test-representations.airdM.xes,set,1.133333333
GEMINI,2023-02-08 09.01 Test-representations.airdM.xes,refbaseclasspath,1
GEMINI,2023-02-08 09.01 Test-representations.airdM.xes,basesystemunit,1
GEMINI,2023-02-08 09.01 Test-representations.airdM.xes,supportedroleclass,6
GEMINI,2023-02-08 09.01 Test-representations.airdM.xes,roleclass,0.2
GEMINI,2023-02-08 09.01 Test-representations.airdM.xes,refroleclasspath,1
GEMINI,2023-02-08 09.01 Test-representations.airdM.xes,externalinterface,3
GEMINI,2023-02-08 09.01 Test-representations.airdM.xes,baseclass,1
GEMINI,2023-02-08 09.01 Test-representations.airdM.xes,internallink,4
GEMINI,2023-02-08 09.01 Test-representations.airdM.xes,partnersidea,1
GEMINI,2023-02-08 09.01 Test-representations.airdM.xes,partnersideb,1
GEMINI,2023-02-08 13.19 Test-representations.airdM.xes,internalelement,9
GEMINI,2023-02-08 13.19 Test-representations.airdM.xes,add,2
GEMINI,2023-02-08 13.19 Test-representations.airdM.xes,name,2
GEMINI,2023-02-08 13.19 Test-representations.airdM.xes,set,2.375
GEMINI,2023-02-08 13.19 Test-representations.airdM.xes,externalinterface,6
GEMINI,2023-02-08 13.19 Test-representations.airdM.xes,baseclass,2
GEMINI,2023-02-08 13.19 Test-representations.airdM.xes,internallink,8
GEMINI,2023-02-08 13.19 Test-representations.airdM.xes,partnersidea,2
GEMINI,2023-02-08 13.19 Test-representations.airdM.xes,partnersideb,2
GEMINI,2023-02-08 14.30 Test-representations.airdM.xes,internalelement,3.666666667
GEMINI,2023-02-08 14.30 Test-representations.airdM.xes,add,0.75
GEMINI,2023-02-08 14.30 Test-representations.airdM.xes,name,1.5
GEMINI,2023-02-08 14.30 Test-representations.airdM.xes,set,1.2
GEMINI,2023-02-08 14.30 Test-representations.airdM.xes,externalinterface,4
GEMINI,2023-02-08 14.30 Test-representations.airdM.xes,internallink,4
GEMINI,2023-02-08 14.30 Test-representations.airdM.xes,partnersidea,1
GEMINI,2023-02-08 14.30 Test-representations.airdM.xes,partnersideb,1
GEMINI,2023-02-09 08.10 Test-representations.airdM.xes,internalelement,3.5
GEMINI,2023-02-09 08.10 Test-representations.airdM.xes,add,0.9
GEMINI,2023-02-09 08.10 Test-representations.airdM.xes,name,2.25
GEMINI,2023-02-09 08.10 Test-representations.airdM.xes,set,1.7
GEMINI,2023-02-09 08.10 Test-representations.airdM.xes,externalinterface,3
GEMINI,2023-02-09 08.10 Test-representations.airdM.xes,baseclass,2
GEMINI,2023-02-09 08.10 Test-representations.airdM.xes,internallink,4
GEMINI,2023-02-09 08.10 Test-representations.airdM.xes,partnersidea,1
GEMINI,2023-02-09 08.10 Test-representations.airdM.xes,partnersideb,1
GEMINI,2023-02-09 10.13 Test-representations.airdM.xes,internalelement,4.5
GEMINI,2023-02-09 10.13 Test-representations.airdM.xes,add,1.090909091
GEMINI,2023-02-09 10.13 Test-representations.airdM.xes,name,1.666666667
GEMINI,2023-02-09 10.13 Test-representations.airdM.xes,set,1.166666667
GEMINI,2023-02-09 10.13 Test-representations.airdM.xes,id,1
GEMINI,2023-02-09 10.13 Test-representations.airdM.xes,basesystemunit,1
GEMINI,2023-02-09 10.13 Test-representations.airdM.xes,externalinterface,3
GEMINI,2023-02-09 10.13 Test-representations.airdM.xes,baseclass,1.333333333
GEMINI,2023-02-09 10.13 Test-representations.airdM.xes,internallink,4
GEMINI,2023-02-09 10.13 Test-representations.airdM.xes,partnersidea,1
GEMINI,2023-02-09 10.13 Test-representations.airdM.xes,partnersideb,1
GEMINI,2023-02-09 13.33 Test-representations.airdM.xes,internalelement,4.666666667
GEMINI,2023-02-09 13.33 Test-representations.airdM.xes,add,1.222222222
GEMINI,2023-02-09 13.33 Test-representations.airdM.xes,name,5.5
GEMINI,2023-02-09 13.33 Test-representations.airdM.xes,set,2.1
GEMINI,2023-02-09 13.33 Test-representations.airdM.xes,externalinterface,2.75
GEMINI,2023-02-09 13.33 Test-representations.airdM.xes,refbaseclasspath,1
GEMINI,2023-02-09 13.33 Test-representations.airdM.xes,internallink,4
GEMINI,2023-02-09 13.33 Test-representations.airdM.xes,partnersidea,1
GEMINI,2023-02-09 13.33 Test-representations.airdM.xes,partnersideb,1
GEMINI,2023-02-09 13.37 Test-representations.airdM.xes,internalelement,4.333333333
GEMINI,2023-02-09 13.37 Test-representations.airdM.xes,add,1.333333333
GEMINI,2023-02-09 13.37 Test-representations.airdM.xes,name,1.6
GEMINI,2023-02-09 13.37 Test-representations.airdM.xes,set,1.454545455
GEMINI,2023-02-09 13.37 Test-representations.airdM.xes,externalinterface,3
GEMINI,2023-02-09 13.37 Test-representations.airdM.xes,baseclass,1
GEMINI,2023-02-09 13.37 Test-representations.airdM.xes,internallink,4
GEMINI,2023-02-09 13.37 Test-representations.airdM.xes,partnersidea,1
GEMINI,2023-02-09 13.37 Test-representations.airdM.xes,partnersideb,1
GEMINI,2023-02-10 08.43 Test-representations.airdM.xes,internalelement,12.5
GEMINI,2023-02-10 08.43 Test-representations.airdM.xes,add,0.913043478
GEMINI,2023-02-10 08.43 Test-representations.airdM.xes,name,1.9
GEMINI,2023-02-10 08.43 Test-representations.airdM.xes,set,1.139534884
GEMINI,2023-02-10 08.43 Test-representations.airdM.xes,supportedroleclass,0.75
GEMINI,2023-02-10 08.43 Test-representations.airdM.xes,roleclass,1.2
GEMINI,2023-02-10 08.43 Test-representations.airdM.xes,externalinterface,2.888888889
GEMINI,2023-02-10 08.43 Test-representations.airdM.xes,internallink,5
GEMINI,2023-02-10 08.43 Test-representations.airdM.xes,partnersidea,0.5
GEMINI,2023-02-10 08.43 Test-representations.airdM.xes,partnersideb,0.5
GEMINI,2023-02-10 08.50 Test-representations.airdM.xes,internalelement,0.5
GEMINI,2023-02-10 08.50 Test-representations.airdM.xes,add,1
GEMINI,2023-02-10 08.50 Test-representations.airdM.xes,name,1.2
GEMINI,2023-02-10 08.50 Test-representations.airdM.xes,set,1.2
GEMINI,2023-02-10 08.50 Test-representations.airdM.xes,supportedroleclass,1
GEMINI,2023-02-10 08.50 Test-representations.airdM.xes,externalinterface,0.666666667
GEMINI,2023-02-10 08.50 Test-representations.airdM.xes,refbaseclasspath,1
GEMINI,2023-02-10 08.50 Test-representations.airdM.xes,baseclass,1.5
GEMINI,2023-02-10 08.50 Test-representations.airdM.xes,internallink,1
GEMINI,2023-02-10 08.50 Test-representations.airdM.xes,partnersidea,1
GEMINI,2023-02-10 08.50 Test-representations.airdM.xes,partnersideb,1
GEMINI,2023-02-10 08.58 Test-representations.airdM.xes,internalelement,1
GEMINI,2023-02-10 08.58 Test-representations.airdM.xes,add,0.833333333
GEMINI,2023-02-10 08.58 Test-representations.airdM.xes,name,2.5
GEMINI,2023-02-10 08.58 Test-representations.airdM.xes,set,1.461538462
GEMINI,2023-02-10 08.58 Test-representations.airdM.xes,supportedroleclass,0.666666667
GEMINI,2023-02-10 08.58 Test-representations.airdM.xes,externalinterface,0.857142857
GEMINI,2023-02-10 08.58 Test-representations.airdM.xes,internallink,1
GEMINI,2023-02-10 08.58 Test-representations.airdM.xes,partnersidea,0.666666667
GEMINI,2023-02-10 08.58 Test-representations.airdM.xes,partnersideb,0.666666667
GEMINI,2023-02-10 09.38 Test-representations.airdM.xes,internalelement,9.666666667
GEMINI,2023-02-10 09.38 Test-representations.airdM.xes,add,0.92
GEMINI,2023-02-10 09.38 Test-representations.airdM.xes,name,1.909090909
GEMINI,2023-02-10 09.38 Test-representations.airdM.xes,set,1.365853659
GEMINI,2023-02-10 09.38 Test-representations.airdM.xes,supportedroleclass,7
GEMINI,2023-02-10 09.38 Test-representations.airdM.xes,externalinterface,2.454545455
GEMINI,2023-02-10 09.38 Test-representations.airdM.xes,internallink,2.4
GEMINI,2023-02-10 09.38 Test-representations.airdM.xes,partnersidea,0.4
GEMINI,2023-02-10 09.38 Test-representations.airdM.xes,partnersideb,0.4
GEMINI,2023-02-10 10.09 Test-representations.airdM.xes,internalelement,3
GEMINI,2023-02-10 10.09 Test-representations.airdM.xes,add,0.333333333
GEMINI,2023-02-10 10.09 Test-representations.airdM.xes,name,0.818181818
GEMINI,2023-02-10 10.09 Test-representations.airdM.xes,set,0.522727273
GEMINI,2023-02-10 10.09 Test-representations.airdM.xes,supportedroleclass,0.181818182
GEMINI,2023-02-10 10.09 Test-representations.airdM.xes,roleclass,0.285714286
GEMINI,2023-02-10 10.09 Test-representations.airdM.xes,externalinterface,1.333333333
GEMINI,2023-02-10 10.09 Test-representations.airdM.xes,internallink,1.714285714
GEMINI,2023-02-10 10.09 Test-representations.airdM.xes,partnersidea,0.333333333
GEMINI,2023-02-10 10.09 Test-representations.airdM.xes,partnersideb,0.333333333
GEMINI,2023-02-10 10.37 Test-representations.airdM.xes,internalelement,3.444444444
GEMINI,2023-02-10 10.37 Test-representations.airdM.xes,add,0.295454545
GEMINI,2023-02-10 10.37 Test-representations.airdM.xes,name,0.5
GEMINI,2023-02-10 10.37 Test-representations.airdM.xes,set,0.408759124
GEMINI,2023-02-10 10.37 Test-representations.airdM.xes,id,1
GEMINI,2023-02-10 10.37 Test-representations.airdM.xes,supportedroleclass,0.272727273
GEMINI,2023-02-10 10.37 Test-representations.airdM.xes,roleclass,0.5
GEMINI,2023-02-10 10.37 Test-representations.airdM.xes,externalinterface,0.771428571
GEMINI,2023-02-10 10.37 Test-representations.airdM.xes,internallink,1.272727273
GEMINI,2023-02-10 10.37 Test-representations.airdM.xes,partnersidea,0.194444444
GEMINI,2023-02-10 10.37 Test-representations.airdM.xes,partnersideb,0.194444444
GPT35,2023-02-07 08.04 Test-representations.airdM.xes,internalelement,5.5
GPT35,2023-02-07 08.04 Test-representations.airdM.xes,add,0.777777778
GPT35,2023-02-07 08.04 Test-representations.airdM.xes,name,1
GPT35,2023-02-07 08.04 Test-representations.airdM.xes,set,1
GPT35,2023-02-07 08.04 Test-representations.airdM.xes,externalinterface,0.5
GPT35,2023-02-07 08.04 Test-representations.airdM.xes,internallink,3
GPT35,2023-02-07 08.04 Test-representations.airdM.xes,partnersidea,1
GPT35,2023-02-07 08.04 Test-representations.airdM.xes,partnersideb,1
GPT35,2023-02-07 08.04 Test-representations.airdM.xes,attribute,4
GPT35,2023-02-07 08.04 Test-representations.airdM.xes,value,1
GPT35,2023-02-07 08.04 Test-representations.airdM.xes,unit,1
GPT35,2023-02-07 09.06 Test-representations.airdM.xes,add,1.076923077
GPT35,2023-02-07 09.06 Test-representations.airdM.xes,internalelement,6
GPT35,2023-02-07 09.06 Test-representations.airdM.xes,name,0.428571429
GPT35,2023-02-07 09.06 Test-representations.airdM.xes,set,0.53125
GPT35,2023-02-07 09.06 Test-representations.airdM.xes,externalinterface,1
GPT35,2023-02-07 09.06 Test-representations.airdM.xes,internallink,4.5
GPT35,2023-02-07 09.06 Test-representations.airdM.xes,partnersidea,0.75
GPT35,2023-02-07 09.06 Test-representations.airdM.xes,partnersideb,0.75
GPT35,2023-02-07 09.06 Test-representations.airdM.xes,attribute,2.2
GPT35,2023-02-07 09.06 Test-representations.airdM.xes,value,0.5
GPT35,2023-02-07 09.06 Test-representations.airdM.xes,defaultvalue,1
GPT35,2023-02-07 09.17 Test-representations.airdM.xes,add,1
GPT35,2023-02-07 09.17 Test-representations.airdM.xes,internalelement,7
GPT35,2023-02-07 09.17 Test-representations.airdM.xes,name,0.5
GPT35,2023-02-07 09.17 Test-representations.airdM.xes,set,0.941176471
GPT35,2023-02-07 09.17 Test-representations.airdM.xes,externalinterface,1.5
GPT35,2023-02-07 09.17 Test-representations.airdM.xes,internallink,3
GPT35,2023-02-07 09.17 Test-representations.airdM.xes,partnersidea,1
GPT35,2023-02-07 09.17 Test-representations.airdM.xes,partnersideb,1
GPT35,2023-02-07 09.17 Test-representations.airdM.xes,supportedroleclass,2
GPT35,2023-02-07 09.17 Test-representations.airdM.xes,attribute,3
GPT35,2023-02-07 09.17 Test-representations.airdM.xes,value,1
GPT35,2023-02-07 09.27 Test-representations.airdM.xes,add,2
GPT35,2023-02-07 09.27 Test-representations.airdM.xes,internalelement,14
GPT35,2023-02-07 09.27 Test-representations.airdM.xes,name,0.375
GPT35,2023-02-07 09.27 Test-representations.airdM.xes,set,1
GPT35,2023-02-07 09.27 Test-representations.airdM.xes,supportedroleclass,3
GPT35,2023-02-07 09.27 Test-representations.airdM.xes,refroleclasspath,1
GPT35,2023-02-07 09.27 Test-representations.airdM.xes,externalinterface,3.333333333
GPT35,2023-02-07 09.27 Test-representations.airdM.xes,internallink,4
GPT35,2023-02-07 09.27 Test-representations.airdM.xes,partnersidea,0.666666667
GPT35,2023-02-07 09.27 Test-representations.airdM.xes,partnersideb,1
GPT35,2023-02-07 09.48 Test-representations.airdM.xes,add,1.375
GPT35,2023-02-07 09.48 Test-representations.airdM.xes,internalelement,5.5
GPT35,2023-02-07 09.48 Test-representations.airdM.xes,name,0.4
GPT35,2023-02-07 09.48 Test-representations.airdM.xes,set,0.769230769
GPT35,2023-02-07 09.48 Test-representations.airdM.xes,externalinterface,2
GPT35,2023-02-07 09.48 Test-representations.airdM.xes,internallink,3
GPT35,2023-02-07 09.48 Test-representations.airdM.xes,partnersideb,1
GPT35,2023-02-07 09.48 Test-representations.airdM.xes,partnersidea,0.25
GPT35,2023-02-07 10.55 Test-representations.airdM.xes,add,0.777777778
GPT35,2023-02-07 10.55 Test-representations.airdM.xes,internalelement,3
GPT35,2023-02-07 10.55 Test-representations.airdM.xes,name,0.4
GPT35,2023-02-07 10.55 Test-representations.airdM.xes,set,1
GPT35,2023-02-07 10.55 Test-representations.airdM.xes,supportedroleclass,1.666666667
GPT35,2023-02-07 10.55 Test-representations.airdM.xes,externalinterface,2
GPT35,2023-02-07 10.55 Test-representations.airdM.xes,baseclass,2
GPT35,2023-02-07 10.55 Test-representations.airdM.xes,internallink,3
GPT35,2023-02-07 10.55 Test-representations.airdM.xes,partnersidea,1
GPT35,2023-02-07 10.55 Test-representations.airdM.xes,partnersideb,1
GPT35,2023-02-07 11.07 Test-representations.airdM.xes,add,1.5
GPT35,2023-02-07 11.07 Test-representations.airdM.xes,internalelement,3
GPT35,2023-02-07 11.07 Test-representations.airdM.xes,name,0.75
GPT35,2023-02-07 11.07 Test-representations.airdM.xes,set,0.888888889
GPT35,2023-02-07 11.07 Test-representations.airdM.xes,basesystemunit,1
GPT35,2023-02-07 11.07 Test-representations.airdM.xes,externalinterface,2
GPT35,2023-02-07 11.07 Test-representations.airdM.xes,baseclass,1
GPT35,2023-02-07 11.07 Test-representations.airdM.xes,internallink,3
GPT35,2023-02-07 11.07 Test-representations.airdM.xes,partnersidea,1
GPT35,2023-02-07 11.07 Test-representations.airdM.xes,partnersideb,1
GPT35,2023-02-08 09.01 Test-representations.airdM.xes,add,1.285714286
GPT35,2023-02-08 09.01 Test-representations.airdM.xes,internalelement,4
GPT35,2023-02-08 09.01 Test-representations.airdM.xes,name,1.5
GPT35,2023-02-08 09.01 Test-representations.airdM.xes,set,1.133333333
GPT35,2023-02-08 09.01 Test-representations.airdM.xes,refbaseclasspath,1
GPT35,2023-02-08 09.01 Test-representations.airdM.xes,basesystemunit,1
GPT35,2023-02-08 09.01 Test-representations.airdM.xes,supportedroleclass,2.5
GPT35,2023-02-08 09.01 Test-representations.airdM.xes,roleclass,0.6
GPT35,2023-02-08 09.01 Test-representations.airdM.xes,externalinterface,2
GPT35,2023-02-08 09.01 Test-representations.airdM.xes,baseclass,1
GPT35,2023-02-08 09.01 Test-representations.airdM.xes,internallink,3
GPT35,2023-02-08 09.01 Test-representations.airdM.xes,partnersidea,1
GPT35,2023-02-08 09.01 Test-representations.airdM.xes,partnersideb,1
GPT35,2023-02-08 13.19 Test-representations.airdM.xes,add,2.5
GPT35,2023-02-08 13.19 Test-representations.airdM.xes,internalelement,2
GPT35,2023-02-08 13.19 Test-representations.airdM.xes,name,2.25
GPT35,2023-02-08 13.19 Test-representations.airdM.xes,set,2.5
GPT35,2023-02-08 13.19 Test-representations.airdM.xes,externalinterface,6
GPT35,2023-02-08 13.19 Test-representations.airdM.xes,baseclass,2
GPT35,2023-02-08 13.19 Test-representations.airdM.xes,internallink,8
GPT35,2023-02-08 13.19 Test-representations.airdM.xes,partnersidea,2
GPT35,2023-02-08 13.19 Test-representations.airdM.xes,partnersideb,2
GPT35,2023-02-08 14.30 Test-representations.airdM.xes,add,1.25
GPT35,2023-02-08 14.30 Test-representations.airdM.xes,internalelement,2
GPT35,2023-02-08 14.30 Test-representations.airdM.xes,name,2.25
GPT35,2023-02-08 14.30 Test-representations.airdM.xes,set,1.5
GPT35,2023-02-08 14.30 Test-representations.airdM.xes,externalinterface,4
GPT35,2023-02-08 14.30 Test-representations.airdM.xes,internallink,4
GPT35,2023-02-08 14.30 Test-representations.airdM.xes,partnersidea,1
GPT35,2023-02-08 14.30 Test-representations.airdM.xes,partnersideb,1
GPT35,2023-02-09 08.10 Test-representations.airdM.xes,internalelement,3.5
GPT35,2023-02-09 08.10 Test-representations.airdM.xes,add,1
GPT35,2023-02-09 08.10 Test-representations.airdM.xes,name,0.25
GPT35,2023-02-09 08.10 Test-representations.airdM.xes,set,0.5
GPT35,2023-02-09 08.10 Test-representations.airdM.xes,externalinterface,1
GPT35,2023-02-09 08.10 Test-representations.airdM.xes,internallink,3
GPT35,2023-02-09 08.10 Test-representations.airdM.xes,partnersidea,1
GPT35,2023-02-09 08.10 Test-representations.airdM.xes,partnersideb,1
GPT35,2023-02-09 10.13 Test-representations.airdM.xes,internalelement,3.75
GPT35,2023-02-09 10.13 Test-representations.airdM.xes,add,1
GPT35,2023-02-09 10.13 Test-representations.airdM.xes,name,0.166666667
GPT35,2023-02-09 10.13 Test-representations.airdM.xes,set,0.444444444
GPT35,2023-02-09 10.13 Test-representations.airdM.xes,basesystemunit,1
GPT35,2023-02-09 10.13 Test-representations.airdM.xes,externalinterface,1.5
GPT35,2023-02-09 10.13 Test-representations.airdM.xes,baseclass,1
GPT35,2023-02-09 10.13 Test-representations.airdM.xes,internallink,2
GPT35,2023-02-09 10.13 Test-representations.airdM.xes,partnersidea,0.666666667
GPT35,2023-02-09 10.13 Test-representations.airdM.xes,partnersideb,0.666666667
GPT35,2023-02-09 13.33 Test-representations.airdM.xes,internalelement,4.666666667
GPT35,2023-02-09 13.33 Test-representations.airdM.xes,add,1
GPT35,2023-02-09 13.33 Test-representations.airdM.xes,name,0.5
GPT35,2023-02-09 13.33 Test-representations.airdM.xes,set,0.9
GPT35,2023-02-09 13.33 Test-representations.airdM.xes,version,0.333333333
GPT35,2023-02-09 13.33 Test-representations.airdM.xes,externalinterface,1.5
GPT35,2023-02-09 13.33 Test-representations.airdM.xes,refbaseclasspath,1
GPT35,2023-02-09 13.33 Test-representations.airdM.xes,internallink,3
GPT35,2023-02-09 13.33 Test-representations.airdM.xes,partnersidea,1
GPT35,2023-02-09 13.33 Test-representations.airdM.xes,partnersideb,1
GPT35,2023-02-09 13.37 Test-representations.airdM.xes,internalelement,4.333333333
GPT35,2023-02-09 13.37 Test-representations.airdM.xes,add,1.333333333
GPT35,2023-02-09 13.37 Test-representations.airdM.xes,name,0.4
GPT35,2023-02-09 13.37 Test-representations.airdM.xes,set,0.909090909
GPT35,2023-02-09 13.37 Test-representations.airdM.xes,externalinterface,2
GPT35,2023-02-09 13.37 Test-representations.airdM.xes,baseclass,1
GPT35,2023-02-09 13.37 Test-representations.airdM.xes,internallink,3
GPT35,2023-02-09 13.37 Test-representations.airdM.xes,partnersidea,1
GPT35,2023-02-09 13.37 Test-representations.airdM.xes,partnersideb,1
GPT35,2023-02-10 08.43 Test-representations.airdM.xes,internalelement,2.5
GPT35,2023-02-10 08.43 Test-representations.airdM.xes,add,0.173913043
GPT35,2023-02-10 08.43 Test-representations.airdM.xes,name,0.1
GPT35,2023-02-10 08.43 Test-representations.airdM.xes,set,0.11627907
GPT35,2023-02-10 08.43 Test-representations.airdM.xes,supportedroleclass,0.25
GPT35,2023-02-10 08.43 Test-representations.airdM.xes,externalinterface,0.222222222
GPT35,2023-02-10 08.43 Test-representations.airdM.xes,internallink,0.75
GPT35,2023-02-10 08.43 Test-representations.airdM.xes,partnersidea,0.1
GPT35,2023-02-10 08.43 Test-representations.airdM.xes,partnersideb,0.1
GPT35,2023-02-10 08.50 Test-representations.airdM.xes,internalelement,2.5
GPT35,2023-02-10 08.50 Test-representations.airdM.xes,add,0.333333333
GPT35,2023-02-10 08.50 Test-representations.airdM.xes,name,0.2
GPT35,2023-02-10 08.50 Test-representations.airdM.xes,set,0.4
GPT35,2023-02-10 08.50 Test-representations.airdM.xes,id,1
GPT35,2023-02-10 08.50 Test-representations.airdM.xes,supportedroleclass,1
GPT35,2023-02-10 08.50 Test-representations.airdM.xes,externalinterface,0.333333333
GPT35,2023-02-10 08.50 Test-representations.airdM.xes,baseclass,0.5
GPT35,2023-02-10 08.50 Test-representations.airdM.xes,internallink,1.5
GPT35,2023-02-10 08.50 Test-representations.airdM.xes,partnersidea,0.5
GPT35,2023-02-10 08.50 Test-representations.airdM.xes,partnersideb,0.5
GPT35,2023-02-10 08.58 Test-representations.airdM.xes,internalelement,14
GPT35,2023-02-10 08.58 Test-representations.airdM.xes,add,0.666666667
GPT35,2023-02-10 08.58 Test-representations.airdM.xes,name,0.166666667
GPT35,2023-02-10 08.58 Test-representations.airdM.xes,set,0.576923077
GPT35,2023-02-10 08.58 Test-representations.airdM.xes,supportedroleclass,0.833333333
GPT35,2023-02-10 08.58 Test-representations.airdM.xes,externalinterface,1.428571429
GPT35,2023-02-10 08.58 Test-representations.airdM.xes,internallink,2.25
GPT35,2023-02-10 08.58 Test-representations.airdM.xes,partnersidea,0.5
GPT35,2023-02-10 08.58 Test-representations.airdM.xes,partnersideb,0.5
GPT35,2023-02-10 09.38 Test-representations.airdM.xes,internalelement,7
GPT35,2023-02-10 09.38 Test-representations.airdM.xes,add,0.76
GPT35,2023-02-10 09.38 Test-representations.airdM.xes,name,0.090909091
GPT35,2023-02-10 09.38 Test-representations.airdM.xes,set,0.585365854
GPT35,2023-02-10 09.38 Test-representations.airdM.xes,supportedroleclass,10
